x,y,err
-0.957142857,54.73374233,2.897668712
-0.928571429,56.66552147,2.897668712
-0.9,56.18257669,2.736687117
-0.871428571,57.47042945,2.897668712
-0.842857143,56.82650307,2.736687117
-0.814285714,56.82650307,2.736687117
-0.785714286,48.93840491,2.414723926
-0.757142857,53.36539877,2.495214724
-0.728571429,56.02159509,2.575705521
-0.7,51.75558282,2.334233129
-0.671428571,51.83607362,2.253742331
-0.642857143,51.91656442,2.334233129
-0.614285714,50.62871166,2.173251534
-0.585714286,53.92883436,2.414723926
-0.557142857,49.74331288,2.253742331
-0.528571429,52.48,2.253742331
-0.5,45.55779141,2.092760736
-0.471428571,49.82380368,2.173251534
-0.442857143,50.38723926,2.253742331
-0.414285714,47.00662577,2.092760736
-0.385714286,51.99705521,2.253742331
-0.357142857,47.97251534,2.092760736
-0.328571429,50.70920245,2.253742331
-0.3,49.42134969,2.253742331
-0.271428571,46.28220859,2.173251534
-0.242857143,50.22625767,2.253742331
-0.214285714,48.77742331,2.253742331
-0.185714286,51.35312883,2.253742331
-0.157142857,54.41177914,2.414723926
-0.128571429,48.53595092,2.173251534
-0.1,47.73104294,2.173251534
-0.071428571,49.3408589,2.173251534
-0.042857143,47.24809816,2.173251534
-0.014285714,45.71877301,2.092760736
0.014285714,51.03116564,2.253742331
0.042857143,46.12122699,2.173251534
0.071428571,48.13349693,2.253742331
0.1,48.21398773,2.173251534
0.128571429,50.62871166,2.334233129
0.157142857,51.59460123,2.334233129
0.185714286,47.57006135,2.173251534
0.214285714,51.35312883,2.253742331
0.242857143,49.01889571,2.173251534
0.271428571,47.97251534,2.253742331
0.3,51.51411043,2.253742331
0.328571429,49.74331288,2.253742331
0.357142857,51.43361963,2.334233129
0.385714286,51.35312883,2.253742331
0.414285714,50.22625767,2.253742331
0.442857143,52.6409816,2.253742331
0.471428571,45.8797546,2.092760736
0.5,48.85791411,2.173251534
0.528571429,48.69693252,2.173251534
0.557142857,48.05300613,2.173251534
0.585714286,51.19214724,2.253742331
0.614285714,50.70920245,2.253742331
0.642857143,53.84834356,2.334233129
0.671428571,50.70920245,2.253742331
0.7,51.27263804,2.334233129
0.728571429,50.30674847,2.334233129
0.757142857,51.35312883,2.414723926
0.785714286,50.06527607,2.414723926
0.814285714,53.36539877,2.495214724
0.842857143,56.34355828,2.736687117
0.871428571,51.75558282,2.656196319
0.9,51.11165644,2.656196319
0.928571429,52.3995092,2.817177914
0.957142857,51.83607362,2.736687117
