mpipi,events,err
0.3425,14.73544375,9.492495599
0.3475,21.89620714,9.492495599
0.3525,19.56102563,9.489046291
0.3575,29.09146362,9.492495599
0.3625,40.99502551,9.489046291
0.3675,42.22297915,10.68250686
0.3725,55.31310299,9.492495599
0.3775,55.35449468,11.8656195
0.3825,76.75400148,9.492495599
0.3875,85.09442821,10.67905755
0.3925,81.57613405,9.492495599
0.3975,114.8412603,9.492495599
0.4025,131.4945193,11.8656195
0.4075,132.7190237,10.67560824
0.4125,156.4951037,13.05218145
0.4175,168.3952163,13.05218145
0.4225,185.0484752,13.05218145
0.4275,230.1723224,15.42530535
0.4325,274.1165063,16.6118673
0.4375,246.8669731,15.42530535
0.4425,286.0649092,16.6118673
0.4475,341.8678139,17.79842925
0.4525,326.4839002,16.6118673
0.4575,350.2565309,16.6118673
0.4625,389.4510177,17.79497994
0.4675,431.0186283,18.9849912
0.4725,454.791259,18.9849912
0.4775,501.1051174,20.16810384
0.4825,537.9299295,21.35466579
0.4875,562.8856729,20.17155315
0.4925,587.8448655,18.9849912
0.4975,623.4796664,21.35466579
0.5025,653.1816575,20.17155315
0.5075,678.1408502,21.3581151
0.5125,718.5253482,21.3581151
0.5175,729.2388988,20.17155315
0.5225,782.6755782,21.3581151
0.5275,794.5825894,21.3581151
0.5325,817.1652089,22.54122774
0.5375,830.2622313,21.3581151
0.5425,804.1923615,21.3581151
0.5475,850.5062199,22.54122774
0.5525,868.3460409,21.35466579
0.5575,866.0108594,21.3581151
0.5625,780.6197907,21.3581151
0.5675,815.0714789,20.17155315
0.5725,710.6919697,20.16810384
0.5775,652.5883766,18.9849912
0.5825,537.5332591,17.79842925
0.5875,257.5425814,13.04873214
